WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA
08;06;;;strzelecko-drezdenecki;powiat;2024-01-01
02;17;;;strzeliński;powiat;2024-01-01
18;19;;;strzyżowski;powiat;2024-01-01
08;07;;;sulęciński;powiat;2024-01-01
12;15;;;suski;powiat;2024-01-01
20;12;;;suwalski;powiat;2024-01-01
20;63;;;Suwałki;miasto na prawach powiatu;2024-01-01
30;24;;;szamotulski;powiat;2024-01-01
32;62;;;Szczecin;miasto na prawach powiatu;2024-01-01
32;15;;;szczecinecki;powiat;2024-01-01
28;17;;;szczycieński;powiat;2024-01-01
22;16;;;sztumski;powiat;2024-01-01
14;30;;;szydłowiecki;powiat;2024-01-01
02;18;;;średzki;powiat;2024-01-01
30;25;;;średzki;powiat;2024-01-01
30;26;;;śremski;powiat;2024-01-01
02;19;;;świdnicki;powiat;2024-01-01
06;17;;;świdnicki;powiat;2024-01-01
32;16;;;świdwiński;powiat;2024-01-01
08;08;;;świebodziński;powiat;2024-01-01
04;14;;;świecki;powiat;2024-01-01
24;76;;;Świętochłowice;miasto na prawach powiatu;2024-01-01
32;63;;;Świnoujście;miasto na prawach powiatu;2024-01-01
18;64;;;Tarnobrzeg;miasto na prawach powiatu;2024-01-01
18;20;;;tarnobrzeski;powiat;2024-01-01
24;13;;;tarnogórski;powiat;2024-01-01
12;16;;;tarnowski;powiat;2024-01-01
12;63;;;Tarnów;miasto na prawach powiatu;2024-01-01
12;17;;;tatrzański;powiat;2024-01-01
22;14;;;tczewski;powiat;2024-01-01
06;18;;;tomaszowski;powiat;2024-01-01
10;16;;;tomaszowski;powiat;2024-01-01
04;63;;;Toruń;miasto na prawach powiatu;2024-01-01
04;15;;;toruński;powiat;2024-01-01
02;20;;;trzebnicki;powiat;2024-01-01
04;16;;;tucholski;powiat;2024-01-01
30;27;;;turecki;powiat;2024-01-01
24;77;;;Tychy;miasto na prawach powiatu;2024-01-01
12;18;;;wadowicki;powiat;2024-01-01
02;65;;;Wałbrzych;miasto na prawach powiatu;2024-01-01
02;21;;;wałbrzyski;powiat;2024-01-01
32;17;;;wałecki;powiat;2024-01-01
14;65;;;Warszawa;miasto stołeczne, na prawach powiatu;2024-01-01
14;32;;;warszawski zachodni;powiat;2024-01-01
04;17;;;wąbrzeski;powiat;2024-01-01
30;28;;;wągrowiecki;powiat;2024-01-01
22;15;;;wejherowski;powiat;2024-01-01
28;19;;;węgorzewski;powiat;2024-01-01
14;33;;;węgrowski;powiat;2024-01-01
12;19;;;wielicki;powiat;2024-01-01
10;17;;;wieluński;powiat;2024-01-01
10;18;;;wieruszowski;powiat;2024-01-01
04;64;;;Włocławek;miasto na prawach powiatu;2024-01-01
04;18;;;włocławski;powiat;2024-01-01
06;19;;;włodawski;powiat;2024-01-01
26;13;;;włoszczowski;powiat;2024-01-01
24;15;;;wodzisławski;powiat;2024-01-01
30;29;;;wolsztyński;powiat;2024-01-01
14;34;;;wołomiński;powiat;2024-01-01
02;22;;;wołowski;powiat;2024-01-01
02;64;;;Wrocław;miasto na prawach powiatu;2024-01-01
02;23;;;wrocławski;powiat;2024-01-01
30;30;;;wrzesiński;powiat;2024-01-01
